Mes,Pais,Pais_join,fob_total,kg_total,CIIU,fob_ciiu
12,México,MEXICO,110684299.19,165374677.42,Fabricación de vehículos automotores y sus motores,20728363.46
12,Nicaragua,NICARAGUA,7560331.92,1581499.35,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",2162714.85
12,Nigeria,NIGERIA,411000.07,533047.99,Procesamiento y conservación de carne y productos cárnicos,248092.53000000003
12,Noruega,NORWAY,3526643.62,504311.72,Trilla de café,3386091.74
12,Nueva Zelanda,NEW ZEALAND,1753181.98,210664.15,Trilla de café,1369437.99
12,Omán,OMAN,229034.34,66470,Trilla de café,185673.88
12,Pakistán,PAKISTAN,26705,65,Cría de ganado bovino y bufalino,26705
12,Panamá,PANAMA,123426590.99,238161903.75,Extracción de petróleo crudo,87924647.4
12,Paraguay,PARAGUAY,2666545.52,692947.27,"Descafeinado, tostión y molienda del café",401006.02
12,Países Bajos,NETHERLANDS,91324255.89,264872411.77,Extracción de hulla (carbón de piedra),23009973.98
12,Perú,PERU,123679970.89,44305740.01,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",18404466.31
12,Polonia,POLAND,6477289.78,6967953.04,Cultivo de plátano y banano,2949853.62
12,Portugal,PORTUGAL,6018151.03,7051664.27,Cultivo de plátano y banano,3425323.78
12,Qatar,QATAR,572299.84,40199.97,"Descafeinado, tostión y molienda del café",294940.8
12,Reino Unido,UNITED KINGDOM,44104236,41649175.62,Cultivo de plátano y banano,20275874.53
12,Rep democrática Del Congo,DEMOCRATIC REPUBLIC OF THE CONGO,160980.25,91338.23999999999,"Elaboración de cacao, chocolate y productos de confitería",160980.25
12,República Checa,CZECH REPUBLIC,567009.21,71399.62,Cultivo de flor de corte,337381.24
12,República Del Congo,CONGO,6116.41,63.23,Fabricación de formas básicas de plástico,3741.25
12,República Dominicana,DOMINICAN REPUBLIC,53893197.77,264579307.36,Extracción de hulla (carbón de piedra),20646086.69
12,Rumania,ROMANIA,2375225.4299999997,315339.26,Trilla de café,1967412.88
12,Rusia,RUSSIA,3402255.59,744916.6,Cultivo de plantas con las que se preparan bebidas,1220976
12,San Cristóbal Y Nieves,SAINT KITTS AND NEVIS,17817.38,28225.35,Elaboración y refinación de azúcar,16488.83
12,San Vicente Y Las Granadinas,SAINT VINCENT AND THE GRENADINES,142096.23,135060.18,Fabricación de aparatos de distribución y control de la energía eléctrica,59384.54
12,Santa Lucía,SAINT LUCIA,263228.57,129209.95,Fabricación de productos metálicos para uso estructural,65273.84
12,Senegal,SENEGAL,12542698.85,51247565.93,Elaboración y refinación de azúcar,10204435.030000001
12,Sierra Leona,SIERRA LEONE,40017.96000000001,23207.719999999998,"Elaboración de cacao, chocolate y productos de confitería",37824.05
12,Singapur,SINGAPORE,921255.86,33662.11,"Procesamiento y conservación de pescados, crustáceos y moluscos",413374.72
12,Sri Lanka,SRI LANKA,13434.15,168.93,Fabricación de otros artículos textiles n.c.p.,13434.15
12,Sudáfrica,SOUTH AFRICA,499722.7,111138.86,Trilla de café,184089.87
12,Suecia,SWEDEN,8182194.93,5160988.44,Trilla de café,5561899.51
12,Suiza,SWITZERLAND,39169821.66000001,2525770.75,Industrias básicas de metales preciosos,36400290.76000001
