Mes,Pais,Pais_join,Nivel tecnologico,fob_total,kg_total
7,Australia,AUSTRALIA,Manufacturas de tecnología media,64880.29,818.53
7,Australia,AUSTRALIA,Otras transacciones,131.64,140.99
7,Austria,AUSTRIA,Bienes primarios,122606.54000000001,15050.060000000001
7,Austria,AUSTRIA,Manufacturas basadas en recursos naturales,102844.99,3210
7,Austria,AUSTRIA,Manufacturas de baja tecnología,30793.02,19061.2
7,Azerbaiján,AZERBAIJAN,Bienes primarios,15594.08,2872.2
7,Bahamas,BAHAMAS,Bienes primarios,1712.26,192
7,Bahamas,BAHAMAS,Manufacturas basadas en recursos naturales,54171.6,108338.65
7,Bahamas,BAHAMAS,Manufacturas de alta tecnología,644544.01,55601.6
7,Bahamas,BAHAMAS,Manufacturas de baja tecnología,428894.96,27426.25
7,Bahamas,BAHAMAS,Manufacturas de tecnología media,149030.16999999998,55611.63
7,Bahrein,BAHREIN,Bienes primarios,37892.86,4562
7,Bahrein,BAHREIN,Manufacturas basadas en recursos naturales,15357.84,9039.6
7,Bahrein,BAHREIN,Otras transacciones,100,43.3
7,Barbados,BARBADOS,Bienes primarios,11146.16,547.2
7,Barbados,BARBADOS,Manufacturas basadas en recursos naturales,453485.38,554765.75
7,Barbados,BARBADOS,Manufacturas de alta tecnología,57988.2,18327.48
7,Barbados,BARBADOS,Manufacturas de baja tecnología,218753.37,25900.67
7,Barbados,BARBADOS,Manufacturas de tecnología media,116835.21,20973.69
7,Barbados,BARBADOS,Otras transacciones,53.06,6
7,Belarus,BELARUS,Bienes primarios,94645.53,16010.48
7,Belice,BELICE,Bienes primarios,29440,46000
7,Belice,BELICE,Manufacturas basadas en recursos naturales,1496.15,1592.39
7,Belice,BELICE,Manufacturas de alta tecnología,78500.82,18825.74
7,Belice,BELICE,Manufacturas de baja tecnología,102339.23,14113.09
7,Belice,BELICE,Manufacturas de tecnología media,581.4599999999999,1.29
7,Bolivia,BOLIVIA,Bienes primarios,393527.77,84853.07
7,Bolivia,BOLIVIA,Manufacturas basadas en recursos naturales,4244032.25,1547904.19
7,Bolivia,BOLIVIA,Manufacturas de alta tecnología,1155639.36,95224.28
7,Bolivia,BOLIVIA,Manufacturas de baja tecnología,1249954.87,166092.98
7,Bolivia,BOLIVIA,Manufacturas de tecnología media,2298185.94,594300.17
7,Bolivia,BOLIVIA,Otras transacciones,28441.920000000002,996.27
7,Bosnia Y Herzegovina,BOSNIA Y HERZEGOVINA,Bienes primarios,11105.02,1129
7,Brasil,BRASIL,Bienes primarios,32832252.72,275277794.99
7,Brasil,BRASIL,Manufacturas basadas en recursos naturales,62668888.650000006,200573725.67
7,Brasil,BRASIL,Manufacturas de alta tecnología,1753034.01,26701.08
7,Brasil,BRASIL,Manufacturas de baja tecnología,4457203.64,1055899.13
7,Brasil,BRASIL,Manufacturas de tecnología media,102673103.28,60186951.23
7,Brasil,BRASIL,Otras transacciones,48116.14,7128.28
7,Bulgaria,BULGARIA,Bienes primarios,28825.5,18977
7,Bulgaria,BULGARIA,Manufacturas de alta tecnología,2.5,0.62
7,Bulgaria,BULGARIA,Manufacturas de baja tecnología,12847.99,74.62
7,Bulgaria,BULGARIA,Otras transacciones,2.75,0.69
7,Bélgica,BELGICA,Bienes primarios,57856440.42,43745435.94
7,Bélgica,BELGICA,Manufacturas basadas en recursos naturales,5653765.04,21040227.4
7,Bélgica,BELGICA,Manufacturas de alta tecnología,24810.4,22.75
7,Bélgica,BELGICA,Manufacturas de baja tecnología,71755.23000000001,4023.6
7,Bélgica,BELGICA,Manufacturas de tecnología media,825469.67,41683.64
7,Bélgica,BELGICA,Otras transacciones,5,3.18
7,Camerún,CAMERUN,Manufacturas de baja tecnología,67470,17225
7,Canadá,CANADA,Bienes primarios,53959661.55,124422001.1
7,Canadá,CANADA,Manufacturas basadas en recursos naturales,4058736.02,2863198.12
7,Canadá,CANADA,Manufacturas de alta tecnología,1663357.43,236340.97
7,Canadá,CANADA,Manufacturas de baja tecnología,2921354.23,544592.38
7,Canadá,CANADA,Manufacturas de tecnología media,1074862.26,195296.74
7,Canadá,CANADA,Otras transacciones,109264087.39,2058.33
7,Chad,CHAD,Manufacturas de tecnología media,222858,54000
7,Chile,CHILE,Bienes primarios,101240062.25000001,662554689.95
7,Chile,CHILE,Manufacturas basadas en recursos naturales,14080571.1,16949808.86
7,Chile,CHILE,Manufacturas de alta tecnología,4410215.7700000005,2454167.81
7,Chile,CHILE,Manufacturas de baja tecnología,6732573.55,2062373.4
7,Chile,CHILE,Manufacturas de tecnología media,23683142.03,4775746.34
7,Chile,CHILE,Otras transacciones,282665.86,24543.920000000002
7,China,CHINA,Bienes primarios,52974142.5,15714823.13
7,China,CHINA,Manufacturas basadas en recursos naturales,23273598.1,5598437.78
7,China,CHINA,Manufacturas de alta tecnología,129924.64,2562.37
7,China,CHINA,Manufacturas de baja tecnología,539027.6,54779.950000000004
7,China,CHINA,Manufacturas de tecnología media,28622573.28,9990441.97
7,China,CHINA,Otras transacciones,24,3.6
7,Chipre,CHIPRE,Bienes primarios,9672,699
7,Colombia,COLOMBIA,Bienes primarios,156003.8,7182.61
7,Colombia,COLOMBIA,Manufacturas basadas en recursos naturales,592612.35,23046.68
7,Colombia,COLOMBIA,Manufacturas de alta tecnología,67432.81,726.5
7,Colombia,COLOMBIA,Manufacturas de baja tecnología,709139.55,7763.53
7,Colombia,COLOMBIA,Manufacturas de tecnología media,284.28999999999996,6.800000000000001
7,Colombia,COLOMBIA,Otras transacciones,5665.68,286.24
7,Corea del Sur,COREA DEL SUR,Bienes primarios,52855309.74,593796740.34
7,Corea del Sur,COREA DEL SUR,Manufacturas basadas en recursos naturales,6791457.07,1037526.49
7,Corea del Sur,COREA DEL SUR,Manufacturas de alta tecnología,1008684.74,41866.92
7,Corea del Sur,COREA DEL SUR,Manufacturas de baja tecnología,29993.22,180.5
7,Corea del Sur,COREA DEL SUR,Manufacturas de tecnología media,727223.7799999999,218953
7,Corea del Sur,COREA DEL SUR,Otras transacciones,50,28.8
7,Costa De Marfil,COSTA DE MARFIL,Bienes primarios,88418.40999999999,83993
7,Costa De Marfil,COSTA DE MARFIL,Manufacturas basadas en recursos naturales,232924.06,138349.15
7,Costa De Marfil,COSTA DE MARFIL,Manufacturas de alta tecnología,60450.29,325.35
7,Costa De Marfil,COSTA DE MARFIL,Manufacturas de baja tecnología,405720,148770.5
7,Costa De Marfil,COSTA DE MARFIL,Manufacturas de tecnología media,222566.43,36638.4
7,Costa Rica,COSTA RICA,Bienes primarios,1907833.24,2260302.11
7,Costa Rica,COSTA RICA,Manufacturas basadas en recursos naturales,7391800.5,5668218.05
7,Costa Rica,COSTA RICA,Manufacturas de alta tecnología,2094262.06,231830.61
7,Costa Rica,COSTA RICA,Manufacturas de baja tecnología,9466087.74,1715179.56
